data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78,agesq,agecb,educsq,u74,u75,educ_re74,u74_hisp,re74sq,re75sq
Dehejia-Wahba Sample,1,37,11,1,0,1,1,0,0,9930.0458984375,1369,50653,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,9,0,1,0,1,0,0,3595.89404296875,484,10648,81,1,1,0,1,0,0
Dehejia-Wahba Sample,1,30,12,1,0,0,0,0,0,24909.44921875,900,27000,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0,0,7506.14599609375,729,19683,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,33,8,1,0,0,1,0,0,289.7898864746094,1089,35937,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,9,1,0,0,1,0,0,4056.493896484375,484,10648,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,12,1,0,0,0,0,0,0,529,12167,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,32,11,1,0,0,1,0,0,8472.158203125,1024,32768,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,16,1,0,0,0,0,0,2164.02197265625,484,10648,256,1,1,0,0,0,0
Dehejia-Wahba Sample,1,33,12,0,0,1,0,0,0,12418.0703125,1089,35937,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,9,1,0,0,1,0,0,8173.908203125,361,6859,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,13,1,0,0,0,0,0,17094.640625,441,9261,169,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,8,1,0,0,1,0,0,0,324,5832,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,10,1,0,1,1,0,0,18739.9296875,729,19683,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,7,1,0,0,1,0,0,3023.87890625,289,4913,49,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,10,1,0,0,1,0,0,3228.5029296875,361,6859,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0,0,14581.8603515625,729,19683,169,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,10,1,0,0,1,0,0,7693.39990234375,529,12167,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,40,12,1,0,0,0,0,0,10804.3203125,1600,64000,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,26,12,1,0,0,0,0,0,10747.349609375,676,17576,144,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,11,1,0,0,1,0,0,0,529,12167,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,41,14,0,0,0,0,0,0,5149.5009765625,1681,68921,196,1,1,0,0,0,0
Dehejia-Wahba Sample,1,38,9,0,0,0,1,0,0,6408.9501953125,1444,54872,81,1,1,0,0,0,0
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0,0,1991.4000244140625,576,13824,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,10,1,0,0,1,0,0,11163.169921875,324,5832,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,11,1,0,1,1,0,0,9642.9990234375,841,24389,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0,0,9897.048828125,625,15625,121,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,10,0,1,0,1,0,0,11142.8701171875,729,19683,100,1,1,0,1,0,0
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,16218.0400390625,289,4913,100,1,1,0,0,0,0
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0,0,995.7001953125,576,13824,121,1,1,0,0,0,0
